subject,item,repetition,window,duration,sF0,strF0,pF0,CPP,H1H2c,H2H4c,H1A1c,H1A2c,H1A3c,H42Kc,H2KH5Kc,Energy,HNR05,HNR15,HNR25,HNR35,onset,nuc,coda,asp,tone,voicing,semitones,register,contour,manner,pct
F1,vaang2,3,1,336.105,193.159181818182,192.703393939394,195.597121212121,24.260696969697,-1.59748484848485,5.60460606060606,11.4185454545455,10.1639393939394,1.33236363636364,-4.6880303030303,30.0728181818182,0.0428484848484849,54.0693333333333,47.1950909090909,48.4240909090909,48.1354848484849,v,aa,N,unasp,21,voiced,-0.18843074577562,low,falling,fricative,0
F1,vaang2,3,2,336.105,197.794357142857,197.606392857143,197.703107142857,31.0098214285714,-1.44510714285714,4.40728571428571,12.4477142857143,7.73089285714286,2.02717857142857,-2.43896428571429,28.8056428571429,0.054,65.3788214285714,58.8875,59.1470714285714,58.818,v,aa,N,unasp,21,voiced,0.246540934534833,low,falling,fricative,0.1
F1,vaang2,3,3,336.105,193.484071428571,193.591035714286,196.096535714286,31.1285,-1.33264285714286,2.96146428571429,12.6151785714286,6.46957142857143,3.64125,2.31103571428571,25.3240714285714,0.053,66.1991071428571,57.9303928571429,57.0619285714286,56.90125,v,aa,N,unasp,21,voiced,-0.108868719986024,low,falling,fricative,0.2
F1,vaang2,3,4,336.105,187.185571428571,187.361892857143,190.148392857143,30.3693214285714,-1.02764285714286,0.38875,13.8259285714286,7.81778571428571,6.28842857142857,7.84807142857143,21.7958571428571,0.0440714285714286,66.3094642857143,57.5288214285714,55.9666428571429,55.32825,v,aa,N,unasp,21,voiced,-0.675083843916226,low,falling,fricative,0.3
F1,vaang2,3,5,336.105,182.371142857143,181.667107142857,184.029071428571,28.8310357142857,-2.63078571428571,1.76467857142857,14.2060357142857,8.66260714285714,8.16407142857143,3.93814285714286,24.3365357142857,0.0361428571428571,57.1415714285714,51.3122857142857,49.5393571428571,49.8837142857143,v,aa,N,unasp,21,voiced,-1.20944779109128,low,falling,fricative,0.4
F1,vaang2,3,6,336.105,180.034535714286,179.190464285714,181.165392857143,31.0256428571429,-3.02303571428571,9.54896428571429,17.7988928571429,6.47857142857143,5.09057142857143,-7.58525,29.0160714285714,0.0244642857142857,58.8434642857143,57.4036785714286,58.1770357142857,60.3112142857143,v,aa,N,unasp,21,voiced,-1.44708812924335,low,falling,fricative,0.5
F1,vaang2,3,7,336.105,175.467,174.851035714286,177.629535714286,28.3326428571429,-4.01346428571429,13.6029285714286,20.66375,11.2825,6.65375,-3.12103571428571,23.322,0.00953571428571429,52.3441785714286,52.0156428571429,53.6285357142857,55.2792857142857,v,aa,N,unasp,21,voiced,-1.87149841643386,low,falling,fricative,0.6
F1,vaang2,3,8,336.105,170.926892857143,170.903428571429,173.105214285714,26.1043928571429,0.135178571428571,-3.5135,15.05675,8.06742857142857,-0.698392857142857,3.00157142857143,30.1713928571429,0.00542857142857143,52.0720714285714,52.7225714285714,56.6323214285714,57.9238571428571,v,aa,N,unasp,21,voiced,-2.26683843885638,low,falling,fricative,0.7
F1,vaang2,3,9,336.105,166.801357142857,167.1135,168.730714285714,25.50275,2.51353571428571,-5.44342857142857,10.0041785714286,6.67507142857143,-8.86028571428571,-7.28089285714286,40.879,0.005,51.1017142857143,52.9732142857143,57.7908928571429,59.0595,v,aa,N,unasp,21,voiced,-2.65507510989816,low,falling,fricative,0.8
F1,vaang2,3,10,336.105,163.112785714286,163.089892857143,164.545964285714,26.1288928571429,2.27628571428571,-4.12264285714286,10.3739642857143,8.60864285714286,-8.22078571428571,-9.15096428571429,41.3610357142857,0.00496428571428571,50.8033571428571,53.0317142857143,57.9463214285714,60.1293214285714,v,aa,N,unasp,21,voiced,-3.07700599420926,low,falling,fricative,0.9
F1,vaang2,3,11,336.105,163.805178571429,164.081107142857,162.736392857143,23.8558571428571,2.76892857142857,-2.75857142857143,12.3348214285714,10.3410357142857,-5.43367857142857,-10.8944285714286,43.68125,0.00353571428571429,49.4601071428571,54.2795714285714,59.101,60.8249642857143,v,aa,N,unasp,21,voiced,-2.97210493808141,low,falling,fricative,1
F1,bhaan4,3,1,336.559,176.532333333333,175.877636363636,180.33696969697,19.5308181818182,-0.956424242424242,3.81757575757576,18.4559090909091,24.7528484848485,17.5866666666667,14.1470606060606,14.3448787878788,0.0478214285714286,40.6059090909091,39.6998181818182,44.0498484848485,46.4423939393939,bh,aa,N,asp,33,voiced,-1.77014992592393,low,level,obstruent,0
F1,bhaan4,3,2,336.559,171.668428571429,171.588285714286,173.286857142857,25.7426428571429,-3.26882142857143,1.60575,17.0902142857143,20.6638571428571,18.62475,17.6175,12.8886785714286,0.0604642857142857,60.1226428571429,52.6770357142857,50.7476785714286,49.9756428571429,bh,aa,N,asp,33,voiced,-2.19760175164377,low,level,obstruent,0.1
F1,bhaan4,3,3,336.559,173.760857142857,173.515928571429,172.234214285714,26.2915357142857,-3.25475,2.43135714285714,15.8656071428571,16.3253928571429,14.9178571428571,12.6998214285714,14.67325,0.0526428571428571,61.3411428571429,53.2643214285714,50.6329285714286,50.17175,bh,aa,N,asp,33,voiced,-2.00419723683566,low,level,obstruent,0.2
F1,bhaan4,3,4,336.559,175.699035714286,175.564214285714,175.15,29.0761428571429,-3.31860714285714,1.66871428571429,12.4317857142857,10.9446428571429,9.30371428571429,11.6172142857143,12.9311428571429,0.0724642857142857,62.3764642857143,54.2473214285714,51.7583928571429,51.79625,bh,aa,N,asp,33,voiced,-1.8010288389434,low,level,obstruent,0.3
F1,bhaan4,3,5,336.559,179.814321428571,179.77475,177.311928571429,30.6713571428571,-4.34139285714286,0.992785714285714,10.1796428571429,10.1298571428571,6.251,11.1058571428571,14.3351785714286,0.0732857142857143,59.9014285714286,54.3992857142857,52.2709642857143,51.8648214285714,bh,aa,N,asp,33,voiced,-1.39072967577668,low,level,obstruent,0.4
F1,bhaan4,3,6,336.559,183.554107142857,186.996464285714,182.614,26.283,-3.39221428571429,2.33332142857143,13.0959642857143,12.2507142857143,7.43353571428571,8.18003571428572,20.764,0.03275,57.3725714285714,54.1113214285714,53.9392142857143,52.8116071428571,bh,aa,N,asp,33,voiced,-0.708882613155865,low,level,obstruent,0.5
F1,bhaan4,3,7,336.559,189.302071428571,188.4825,184.754178571429,16.5775357142857,4.409,-0.799321428571429,13.8438214285714,12.8581785714286,7.78239285714286,4.33967857142857,20.8813214285714,0.00314285714285714,32.4794285714286,36.3916428571429,41.0206071428571,44.1924285714286,bh,aa,N,asp,33,voiced,-0.571847556396183,low,level,obstruent,0.6
F1,bhaan4,3,8,336.559,183.855714285714,184.022107142857,187.104928571429,17.3580714285714,5.05328571428571,-5.49382142857143,5.30146428571429,12.2178571428571,5.37085714285714,10.9547857142857,20.0393214285714,0.00385714285714286,37.0622857142857,43.9705357142857,47.8816428571429,50.1856071428571,bh,aa,N,asp,33,voiced,-0.986465412107377,low,level,obstruent,0.7
F1,bhaan4,3,9,336.559,182.027321428571,182.341428571429,181.88075,19.5726428571429,4.26275,-5.71610714285714,4.3735,10.811,0.639107142857143,8.92292857142857,21.14025,0.00292857142857143,45.8687142857143,53.5514642857143,54.4836071428571,55.1505714285714,bh,aa,N,asp,33,voiced,-1.14530591319416,low,level,obstruent,0.8
F1,bhaan4,3,10,336.559,181.395464285714,181.644857142857,182.177642857143,18.4058571428571,5.22567857142857,-4.86592857142857,5.453,13.2636071428571,-0.256821428571429,12.5761785714286,18.883,0.00167857142857143,47.4139285714286,55.1211071428571,56.4285357142857,56.4518928571429,bh,aa,N,asp,33,voiced,-1.21156828044624,low,level,obstruent,0.9
F1,bhaan4,3,11,336.559,177.149071428571,176.528857142857,179.144821428571,17.1123928571429,6.31592857142857,-5.74842857142857,7.68089285714286,15.7343214285714,1.53717857142857,6.38685714285714,25.3599642857143,0.001,42.3252142857143,50.3117142857143,54.0823214285714,55.7278571428571,bh,aa,N,asp,33,voiced,-1.7061660385363,low,level,obstruent,1
F1,bhaam6,2,1,339.207,163.827586206897,164.909965517241,169.230068965517,16.4898965517241,3.40162068965517,10.9473793103448,29.9461724137931,35.5878275862069,27.0066896551724,18.1771724137931,5.67365517241379,0.00189655172413793,45.3168965517241,45.5431379310345,49.4771379310345,51.2635517241379,bh,aa,N,asp,25,voiced,-2.8848715147526,low,rising,obstruent,0
